UUSERID,ARTICLEID,CLICK,TIMEDURATION,VISITDATE,VISITTIME,CATEGORIES
114383851905,1081458,1,4.76,2021-09-10 00:00:00,15:03:05,Architecture and renovation
115094499876,1083158,4,14.12,2021-08-31 00:00:00,21:55:10,Architecture and renovation
115021795462,1075997,1,2.37,2021-08-21 00:00:00,00:12:27,Moving
115087260271,1077478,1,14.87,2021-08-30 00:00:00,17:17:15,Small living
115197544128,6486,2,19.21,2021-09-15 00:00:00,03:39:09,
115149886817,1080026,1,2.41,2021-09-08 00:00:00,07:48:21,Rural Property News
115153505703,1086343,1,0.01,2021-09-08 00:00:00,14:15:32,Coronavirus
115055228627,1078989,1,68.11,2021-08-26 00:00:00,00:12:08,Analysis
115135952884,1041477,1,80.31,2021-09-05 00:00:00,22:07:30,Housing Affordability
115072830217,1078989,1,2.70,2021-08-28 00:00:00,20:19:49,Analysis
115024582088,1081647,1,2.26,2021-08-21 00:00:00,11:40:45,Architecture and renovation
115109616679,1084827,2,0.05,2021-09-02 00:00:00,14:15:46,House Prices
115024657382,1082035,2,5.00,2021-08-21 00:00:00,09:52:28,Architecture and renovation
110332374020,1074493,5,79.96,2021-08-29 00:00:00,21:11:26,House and Land
115072415275,1080026,1,17.02,2021-08-28 00:00:00,09:44:29,Suburb &amp; Neighbourhood Profiles
115038245377,1081848,1,1.04,2021-09-12 00:00:00,18:12:11,House Prices
115009160850,1081208,1,6.98,2021-08-19 00:00:00,02:14:13,Renting Advice for Tenants
115119735572,1085208,1,11.56,2021-09-03 00:00:00,14:21:48,On Market
111091800902,1082035,1,4.72,2021-08-22 00:00:00,09:22:15," Advice and Market trends"
115131798143,1080026,1,1.62,2021-09-05 00:00:00,11:51:29,Rural
115149413302,1084751,1,1.48,2021-09-08 00:00:00,10:41:23,House Prices
115062529969,799705,2,5.94,2021-08-26 00:00:00,22:02:11,
115048470910,1082191,1,1.00,2021-08-25 00:00:00,06:20:45,On Market
115048353184,1081964,1,1.22,2021-08-25 00:00:00,08:43:20,Title Deeds
115138892211,1085916,2,8.96,2021-09-06 00:00:00,21:24:15,Architecture and renovation
115152757285,1084538,1,3.73,2021-09-08 00:00:00,16:34:44,The Block
110738767206,1080026,1,3.72,2021-08-31 00:00:00,10:01:08,Suburb &amp; Neighbourhood Profiles
113652146824,1087809,1,0.02,2021-09-13 00:00:00,22:37:52,House Prices
10807595,1086246,1,2.34,2021-09-09 00:00:00,11:43:14,Environment
110423761559,1084235,1,1.36,2021-09-13 00:00:00,19:24:01,Neighbourhoods
115072357834,1080026,2,0.02,2021-08-28 00:00:00,09:59:45,Rural Property News
115099572284,1082908,1,11.73,2021-09-01 00:00:00,10:09:43,Moving Tips
115028175326,1081826,1,11.61,2021-08-21 00:00:00,13:31:17,Coronavirus
114621795697,1082978,1,4.76,2021-08-27 00:00:00,16:57:28,New Developments
115033636870,1081892,2,8.40,2021-08-23 00:00:00,07:29:07,Architecture and renovation
17556,1087384,1,1.19,2021-09-12 00:00:00,16:50:39,House Prices
104399871503,1081208,2,1.85,2021-08-18 00:00:00,07:20:32,Rental Prices
115135427637,1039859,1,44.57,2021-09-05 00:00:00,15:33:41,Coronavirus
115109914727,1084778,1,1.42,2021-09-02 00:00:00,20:07:48,Coronavirus
114524998081,1084778,1,1.40,2021-09-02 00:00:00,14:48:51,First Home Buyers
115072378582,1080026,1,0.94,2021-08-28 00:00:00,16:49:26,Neighbourhoods
115102098310,1077151,1,14.36,2021-09-02 00:00:00,00:04:44,Sponsored content
115009166378,1080992,1,20.21,2021-08-18 00:00:00,22:42:40,Renting Advice for Tenants
115073120319,367180,1,1.13,2021-08-28 00:00:00,12:40:50,
115024768154,5676,1,6.91,2021-08-21 00:00:00,22:41:24,
115139060163,1084751,1,1.31,2021-09-06 00:00:00,21:05:45,House Prices
34592612,1086006,1,0.72,2021-09-08 00:00:00,17:39:36,Auctions
115072902779,1084157,1,1.33,2021-08-28 00:00:00,18:48:02,Coronavirus
100431265102,1084778,1,0.01,2021-09-02 00:00:00,13:33:56,Coronavirus
113936125919,1085208,1,1.00,2021-09-04 00:00:00,21:26:55,The Block Contestants
114458150488,1081848,2,2.97,2021-08-31 00:00:00,13:28:08,Coronavirus
115141645881,1086068,2,4.81,2021-09-07 00:00:00,05:37:09,The Block
113613170912,1077478,1,0.93,2021-09-05 00:00:00,00:45:23,Small living
115105242547,1084538,1,1.38,2021-09-02 00:00:00,01:27:28,The Block
113783748541,1024896,1,18.01,2021-08-21 00:00:00,21:11:39,Bathrooms
115066246700,1078993,4,1.51,2021-08-27 00:00:00,14:00:51,Analysis
115153536380,1086006,1,1.63,2021-09-08 00:00:00,19:32:56,Auctions
115079910303,1079697,1,1.59,2021-08-29 00:00:00,21:13:19,On Market
114869161981,1086433,1,1.64,2021-09-07 00:00:00,22:05:09,Title Deeds
115180258325,1084157,1,2.17,2021-09-12 00:00:00,18:57:38,First Home Buyers
115028226752,1077685,1,1.25,2021-08-22 00:00:00,08:34:48,Neighbourhoods
31823809,1076203,1,3.26,2021-08-17 00:00:00,17:55:50,Coronavirus
115117521681,1079726,1,0.80,2021-09-03 00:00:00,19:02:30,Celebrity
114937932881,1081137,1,1.46,2021-08-23 00:00:00,07:07:42,House Prices
114011524668,1080026,1,4.93,2021-09-14 00:00:00,07:44:36,Suburb &amp; Neighbourhood Profiles
115138539052,1085245,3,45.37,2021-09-06 00:00:00,23:53:02,House Prices
115117729735,1087729,1,0.23,2021-09-13 00:00:00,11:22:16,Bathroom
115049354812,1077478,1,2.53,2021-08-25 00:00:00,06:30:39,Home trends
115087597946,1082578,1,4.22,2021-08-30 00:00:00,11:42:27,Owners
114973231745,1083158,1,2.91,2021-09-15 00:00:00,08:14:11,Architecture and renovation
115058954080,1075988,1,2.71,2021-08-26 00:00:00,11:30:42,Sponsored content
115153150693,1086343,2,10.76,2021-09-08 00:00:00,16:46:56,Renting Advice for Tenants
100607000887,1082534,1,2.19,2021-08-25 00:00:00,18:14:14,Auctions
115044708913,1082451,1,1.93,2021-08-24 00:00:00,09:46:04,On Market
110409492697,329788,2,14.77,2021-08-19 00:00:00,13:25:04,
114053007483,1084778,1,1.04,2021-09-02 00:00:00,21:05:35," News and Guides"
115047911499,1018375,1,3.29,2021-08-25 00:00:00,03:10:21,Coronavirus
113481472560,1083467,1,1.71,2021-09-08 00:00:00,16:47:20,On Market
115167696055,1085208,1,2.10,2021-09-10 00:00:00,14:51:53,On Market
115117472355,195083,1,290.20,2021-09-03 00:00:00,12:35:34,
115044561853,1081848,1,1.20,2021-08-24 00:00:00,09:21:58,House Prices
115125508734,1084778,1,3.41,2021-09-04 00:00:00,18:00:56,First Home Buyers
115065877953,1080272,1,1.05,2021-08-27 00:00:00,17:07:49,On Market
113246856838,1084163,2,1.04,2021-08-29 00:00:00,13:30:12,House Prices
110397714459,1085053,1,2.43,2021-09-05 00:00:00,00:42:31,Title Deeds
114423959971,1086068,2,3.14,2021-09-08 00:00:00,20:34:04,The Block
115145103489,240560,3,2.76,2021-09-07 00:00:00,14:04:05,
115031402245,1082457,1,1.07,2021-08-22 00:00:00,14:06:01,
104037975250,1084577,1,2.92,2021-09-02 00:00:00,11:11:20,Coronavirus
113940299589,1080026,1,1.65,2021-09-12 00:00:00,08:10:05,Neighbourhoods
115085192235,1080026,1,5.35,2021-08-30 00:00:00,01:19:31,Suburb &amp; Neighbourhood Profiles
115028242333,414738,2,169.78,2021-08-21 00:00:00,12:46:15,New Developments
115177007051,1086852,3,1.16,2021-09-12 00:00:00,03:59:45,Title Deeds
115072294153,1080026,1,2.23,2021-08-28 00:00:00,19:28:21," Advice and Market trends"
115018849078,1073368,1,3.00,2021-08-20 00:00:00,15:46:18,Auctions
115117498245,1085208,7,7.78,2021-09-03 00:00:00,17:24:35,The Block Contestants
115157249606,1085208,1,1.97,2021-09-08 00:00:00,17:49:57,The Block Contestants
100998852626,1083467,1,1.64,2021-08-28 00:00:00,16:30:51,House Prices
115128759847,1084538,1,0.65,2021-09-05 00:00:00,09:36:26,Home trends
115009250794,1078835,1,5.64,2021-08-19 00:00:00,08:11:10,The Block Contestants
113052853894,1081208,1,1.33,2021-08-18 00:00:00,14:11:36,Rental Prices
113038707303,1077966,1,3.83,2021-08-23 00:00:00,10:55:44,Suburb &amp; Neighbourhood Profiles
115072362401,1080026,1,0.01,2021-08-28 00:00:00,08:38:15,Neighbourhoods
104674276788,1085749,1,0.02,2021-09-04 00:00:00,14:49:41,Celebrity
115041174961,1082534,1,2.38,2021-08-24 00:00:00,04:13:11,Auctions
100459352589,1084538,1,2.80,2021-09-02 00:00:00,01:33:42,Architecture and renovation
115099420135,1084577,1,3.40,2021-09-01 00:00:00,09:27:47,House Prices
115171204022,1079084,3,23.69,2021-09-10 00:00:00,23:37:45,On Market
114810472082,1084778,1,0.56,2021-09-04 00:00:00,01:25:58,Housing Affordability
115072769022,1084157,1,1.06,2021-08-28 00:00:00,20:54:35,First-Home Buyer Advice
115009219390,1081409,1,3.09,2021-08-19 00:00:00,07:56:51,Renting Advice for Landlords
114168931358,1081208,2,6.44,2021-08-20 00:00:00,07:49:03,Rental Prices
115161869120,1086547,1,0.01,2021-09-09 00:00:00,11:09:09,House Prices
115149541773,1085208,2,7.42,2021-09-08 00:00:00,00:33:46,The Block Contestants
115193921640,1075527,3,0.08,2021-09-14 00:00:00,12:29:01,Gardening
113790518270,1083158,1,0.75,2021-09-03 00:00:00,16:42:59,Architecture and renovation
115021744775,1082035,1,4.53,2021-08-21 00:00:00,10:04:21," Advice and Market trends"
115024629834,1081826,1,1.37,2021-08-21 00:00:00,16:39:43,Coronavirus
114980014144,772881,2,1.99,2021-09-13 00:00:00,13:03:41,
114996686986,1076026,1,1.64,2021-08-17 00:00:00,05:42:08,Auctions
113684776039,1085208,3,2.84,2021-09-11 00:00:00,10:39:26,On Market
115015377445,1075997,1,1.77,2021-08-20 00:00:00,09:35:55,Moving Tips
115109626585,1084059,2,2.58,2021-09-02 00:00:00,17:24:49,Coronavirus
115117857701,1085208,1,1.40,2021-09-03 00:00:00,10:19:11,On Market
115000297516,1080992,1,1.52,2021-08-17 00:00:00,10:01:00,Coronavirus
113605957524,994878,1,0.55,2021-09-04 00:00:00,15:24:06,House Prices
115044892580,1062206,1,2.27,2021-08-24 00:00:00,16:18:12,House Prices
100434927185,1079997,1,2.72,2021-08-29 00:00:00,20:27:39,Neighbourhoods
114402272469,1078989,1,2.29,2021-08-28 00:00:00,17:19:58,Analysis
114509652121,1080026,1,3.07,2021-08-28 00:00:00,12:40:56,Neighbourhoods
115180196458,1087116,1,6.47,2021-09-12 00:00:00,14:46:25,Title Deeds
115007041003,1080757,1,1.68,2021-08-18 00:00:00,21:23:20,Coronavirus
115174383478,1084235,1,2.49,2021-09-11 00:00:00,13:59:34,On Market
115065504864,1082900,1,0.58,2021-08-27 00:00:00,10:54:38,Coronavirus
115186897370,1087568,1,3.66,2021-09-13 00:00:00,17:17:30,House Prices
110843235826,1081964,1,4.20,2021-08-27 00:00:00,18:22:37,Title Deeds
115101710131,1077478,1,1.73,2021-09-01 00:00:00,17:34:27,Small living
115080626895,1084157,2,2.14,2021-08-29 00:00:00,14:08:15," News and Guides"
115084701106,1080026,1,1.20,2021-08-30 00:00:00,07:13:14,Neighbourhoods
111174641970,1087384,1,3.57,2021-09-11 00:00:00,20:48:16,Coronavirus
14028049,1084778,2,2.56,2021-09-02 00:00:00,07:52:21,First Home Buyers
115025102704,1078964,1,4.72,2021-08-21 00:00:00,23:01:48,Architecture and renovation
115068835808,1083233,1,7.37,2021-08-28 00:00:00,00:29:10,House Prices
114800438907,1081450,1,1.26,2021-08-19 00:00:00,22:42:01,Celebrity
115131443923,1085053,4,1.21,2021-09-05 00:00:00,19:47:14,Title Deeds
115132427510,1085208,1,1.17,2021-09-05 00:00:00,11:58:32,The Block Contestants
113935224767,1083440,1,1.63,2021-08-28 00:00:00,14:13:26,Title Deeds
113967509692,392415,1,2.52,2021-08-30 00:00:00,13:56:22,
115109937248,1084577,1,1.21,2021-09-02 00:00:00,17:54:35,House Prices
